weight_gain,isomorphic_error,stage
0.055454545454545465,0.6672747701801002,step_0
0.05636363636363637,0.6597658518347271,step_0
0.05727272727272728,0.45087348538581973,step_0
0.05818181818181819,0.6153478946860639,step_0
0.0590909090909091,0.3702180318943291,step_0
0.060000000000000005,0.47591898979947017,step_0
0.06090909090909092,0.5604129823370212,step_0
0.06181818181818183,0.4188777915393287,step_0
0.06272727272727273,0.507396135671036,step_0
0.06363636363636364,0.435433878650745,step_0
0.06454545454545454,0.5880465131867076,step_0
0.06545454545454546,0.6780667077843523,step_0
0.06636363636363637,0.5681105860847959,step_0
0.06727272727272728,0.6244655214038957,step_0
0.06818181818181819,0.2954642337124084,step_0
0.06909090909090909,0.4832470639676932,step_0
0.07,0.6476776184884128,step_0
0.07090909090909092,0.428957126544292,step_0
0.07181818181818182,0.3428146652258364,step_0
0.07272727272727272,0.46182616480945093,step_0
0.07363636363636364,0.4357395011658469,step_0
0.07454545454545455,0.46482433557744063,step_0
0.07545454545454545,0.5391193142740796,step_0
0.07636363636363637,0.4080290124380057,step_0
0.07727272727272727,0.49622430778725135,step_0
0.07818181818181819,0.4733566177348001,step_0
0.0790909090909091,0.4470590581453114,step_0
0.08,0.5927749387489949,step_0
0.08090909090909092,0.4483405715778716,step_0
0.08181818181818182,0.49429656928850496,step_0
0.08272727272727273,0.4212182545500418,step_0
0.08363636363636363,0.49849484290520296,step_0
0.08454545454545455,0.5229710169631487,step_0
0.08545454545454546,0.46647349753615697,step_0
0.08636363636363636,0.4743748576734171,step_0
0.08727272727272728,0.40478990627539213,step_0
0.08818181818181818,0.4892171572507874,step_0
0.0890909090909091,0.5310337705540821,step_0
0.09000000000000001,0.3709840046591615,step_0
0.09090909090909091,0.5915786914189626,step_0
0.09181818181818183,0.5394086534181874,step_0
0.09272727272727273,0.5791500217220985,step_0
0.09363636363636364,0.40668136608102917,step_0
0.09454545454545454,0.5065940699350232,step_0
0.09545454545454546,0.5073939636472768,step_0
0.09636363636363637,0.45595318205903845,step_0
